,route_id,stop_id,inter,inter_day,delay
33,15,2848F,2021-09-06 11:30:00,6,548886
34,15,5071,2021-09-06 11:30:00,6,557864
35,15,5072,2021-09-06 11:30:00,6,565781
36,15,5074F,2021-09-06 11:30:00,6,532142
37,15,5076F,2021-09-06 11:30:00,6,550887
38,15,5077,2021-09-06 11:30:00,6,549094
39,15,5089,2021-09-06 11:30:00,6,588009
40,15,6604F,2021-09-06 11:30:00,6,513522
41,15,6607,2021-09-06 11:30:00,6,547458
42,15,6649F,2021-09-06 11:30:00,6,534697
43,15,5078F,2021-09-06 12:00:00,6,516885
44,15,5079,2021-09-06 12:00:00,6,560463
45,15,5080,2021-09-06 12:00:00,6,592905
46,15,5081F,2021-09-06 12:00:00,6,680677
48,50,2539,2021-09-06 13:00:00,6,550513
49,50,2544,2021-09-06 13:00:00,6,1400694
50,50,1015,2021-09-06 13:30:00,6,451738
51,50,1015,2021-09-06 13:30:00,6,688088
54,50,2539,2021-09-06 13:30:00,6,672308
56,50,2544,2021-09-06 13:30:00,6,620694
57,50,2544,2021-09-06 13:30:00,6,910056
58,50,2546,2021-09-06 13:30:00,6,489373
59,50,2546,2021-09-06 13:30:00,6,676667
61,50,2548,2021-09-06 13:30:00,6,529470
62,50,2548,2021-09-06 13:30:00,6,647949
64,50,2553,2021-09-06 13:30:00,6,464843
65,50,2553,2021-09-06 13:30:00,6,659752
67,50,2555,2021-09-06 13:30:00,6,529247
68,50,2555,2021-09-06 13:30:00,6,700541
70,50,2608,2021-09-06 13:30:00,6,537107
71,50,2608,2021-09-06 13:30:00,6,2425606
72,50,2609,2021-09-06 13:30:00,6,495368
73,50,2609,2021-09-06 13:30:00,6,698442
74,50,2611,2021-09-06 13:30:00,6,483752
75,50,2664,2021-09-06 13:30:00,6,515155
76,50,2664,2021-09-06 13:30:00,6,696162
77,50,5719,2021-09-06 13:30:00,6,511564
78,50,5719,2021-09-06 13:30:00,6,699573
79,50,5720,2021-09-06 13:30:00,6,563674
80,50,5720,2021-09-06 13:30:00,6,2454399
81,50,5721,2021-09-06 13:30:00,6,518283
82,50,5721,2021-09-06 13:30:00,6,745080
83,50,5915,2021-09-06 13:30:00,6,487562
84,50,5915,2021-09-06 13:30:00,6,668211
85,50,9651,2021-09-06 13:30:00,6,497472
86,50,9652,2021-09-06 13:30:00,6,514187
89,50,9656,2021-09-06 13:30:00,6,2525458
90,50,9657,2021-09-06 13:30:00,6,2472893
92,50,9660,2021-09-06 13:30:00,6,522903
94,50,1015,2021-09-06 14:00:00,6,1831022
95,50,1015,2021-09-06 14:00:00,6,991022
97,50,2531,2021-09-06 14:00:00,6,695259
98,50,2539,2021-09-06 14:00:00,6,1773914
99,50,2539,2021-09-06 14:00:00,6,933914
101,50,2544,2021-09-06 14:00:00,6,921864
102,50,2546,2021-09-06 14:00:00,6,1811483
103,50,2546,2021-09-06 14:00:00,6,971483
105,50,2548,2021-09-06 14:00:00,6,932509
107,50,2553,2021-09-06 14:00:00,6,923330
108,50,2555,2021-09-06 14:00:00,6,1837301
