,code_ligne,variante,stop_1,stop_2,distance,distance_m
0,001m,1,8733,8742,0.0,508.4244388303874
1,001m,1,8742,8292,0.0,828.0493946619498
2,001m,1,8292,8282,0.0,586.4870501554096
3,001m,1,8282,8272,0.0,611.5878105390779
4,001m,1,8272,8012,0.0,390.80006397134593
5,001m,1,8012,8022,0.0,587.697286024009
6,001m,1,8022,8032,0.0,305.01304890119184
7,001m,1,8032,8042,0.0,469.35663412804814
8,001m,1,8042,8052,0.0,591.4724676601497
9,001m,1,8052,8062,0.0,314.9313099709278
10,001m,1,8062,8072,0.0,1218.6788789504749
11,001m,1,8072,8082,0.0,703.1153888232002
12,001m,1,8082,8092,0.0,525.3199501256415
13,001m,1,8092,8102,0.0,415.6648289186967
14,001m,1,8102,8112,0.0,577.7973693259419
15,001m,1,8112,8122,0.0,749.245387039533
16,001m,1,8122,8132,0.0,788.8882557117846
17,001m,1,8132,8142,0.0,514.7913849318171
18,001m,1,8142,8152,0.0,424.14697924187533
19,001m,1,8152,8161,0.0,834.3685816232489
20,001m,2,8161,8151,0.0,872.5589321071775
21,001m,2,8151,8141,0.0,410.3678471810538
22,001m,2,8141,8131,0.0,531.822423370803
23,001m,2,8131,8121,0.0,778.2465033650739
24,001m,2,8121,8111,0.0,779.6100692012669
25,001m,2,8111,8101,0.0,567.3631817451881
26,001m,2,8101,8091,0.0,396.1806910993953
27,001m,2,8091,8081,0.0,533.9528537239956
28,001m,2,8081,8071,0.0,707.1585748613685
29,001m,2,8071,8061,0.0,1238.3250058042354
30,001m,2,8061,8051,0.0,288.6846203038862
31,001m,2,8051,8041,0.0,591.3145440457108
32,001m,2,8041,8031,0.0,471.50656411126556
33,001m,2,8031,8021,0.0,297.15963723222757
34,001m,2,8021,8011,0.0,588.8175438962522
35,001m,2,8011,8271,0.0,399.32339024905525
36,001m,2,8271,8281,0.0,615.1580691172092
37,001m,2,8281,8291,0.0,613.4318544060023
38,001m,2,8291,8741,0.0,788.2594750461298
39,001m,2,8741,8731,0.0,524.5644002408317
40,002m,1,8764,8754,0.0,788.822369104715
41,002m,1,8754,8744,0.0,417.34236545074185
42,002m,1,8744,8382,0.0,506.43879195812
43,002m,1,8382,8372,0.0,496.1429733453886
44,002m,1,8372,8362,0.0,672.3953673248848
45,002m,1,8362,8352,0.0,697.4901432995472
46,002m,1,8352,8342,0.0,454.2006715098451
47,002m,1,8342,8332,0.0,404.5108156774056
48,002m,1,8332,8322,0.0,433.53675738049566
49,002m,1,8322,8312,0.0,600.4657525621338
50,002m,1,8312,8302,0.0,460.87509153781735
51,002m,1,8302,8402,0.0,536.5838611065429
52,002m,1,8402,8412,0.0,483.7516925034873
53,002m,1,8412,8422,0.0,538.9987198500647
54,002m,1,8422,8432,0.0,515.8947373253376
55,002m,1,8432,8442,0.0,538.2178926791886
56,002m,1,8442,8462,0.0,897.8233233771408
57,002m,1,8462,8472,0.0,681.2044993979387
58,002m,2,8471,8461,0.0,651.2980346968479
59,002m,2,8461,8441,0.0,899.7117427265322
60,002m,2,8441,8431,0.0,526.9700940281374
61,002m,2,8431,8421,0.0,527.1006355526265
62,002m,2,8421,8411,0.0,538.2729140501284
63,002m,2,8411,8401,0.0,477.8615908398534
64,002m,2,8401,8301,0.0,541.6123429169465
65,002m,2,8301,8311,0.0,473.43085028334156
66,002m,2,8311,8321,0.0,592.6419492408517
67,002m,2,8321,8331,0.0,448.3973349608607
68,002m,2,8331,8341,0.0,397.6069667397796
69,002m,2,8341,8351,0.0,432.16001666049345
70,002m,2,8351,8361,0.0,704.3715070898313
71,002m,2,8361,8371,0.0,683.6315528118848
72,002m,2,8371,8381,0.0,473.25785783228963
73,002m,2,8381,8743,0.0,499.19051473359355
74,002m,2,8743,8753,0.0,444.86376566316665
75,002m,2,8753,8763,0.0,827.6722177287204
76,003t,1,5701,5700G,0.0,861.4297069407435
77,003t,1,5700G,5704F,0.0,519.6836345316096
78,003t,1,5704F,5705,0.0,387.6090040233897
79,003t,1,5705,5706,0.0,547.9023635648965
80,003t,1,5706,5707,0.0,778.1548689046416
81,003t,1,5707,2338F,0.0,305.2262931007162
82,003t,1,2338F,2318G,0.0,551.4960833949566
83,003t,1,2318G,2543F,0.0,658.9756444664833
84,003t,1,2543F,6178,0.0,195.49424543960367
85,003t,1,6178,5714,0.0,425.73465914816
86,003t,1,5714,0531,0.0,630.870034159176
87,003t,1,0531,0511,0.0,504.5180373385987
88,003t,1,0511,0501,0.0,586.8816320179171
89,003t,1,0501,0601,0.0,497.0120722879878
90,003t,1,0601,0611,0.0,477.3311219688069
91,003t,1,0611,0621,0.0,544.192061684108
92,003t,1,0621,0702,0.0,458.956424946857
93,003t,1,0702,0703,0.0,538.0612046970085
94,003t,1,0703,0704,0.0,402.3038155424285
95,003t,1,0704,0705,0.0,453.1662167461343
96,003t,1,0705,0706,0.0,525.2980106568081
